codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
145,PROD000145,NOM_PROD145,DES_PROD145,1,1,353,4,4081,0,3470,17.63,N,335,423,I
146,PROD000146,NOM_PROD146,DES_PROD146,2,3,355,3,3812,0,3432,11.08,S,337,426,A
147,PROD000147,NOM_PROD147,DES_PROD147,4,2,360,2,2341,0,2041,14.74,N,342,432,A
148,PROD000148,NOM_PROD148,DES_PROD148,5,1,181,5,3757,0,3283,14.46,S,171,217,A
149,PROD000149,NOM_PROD149,DES_PROD149,3,1,5,3,4711,0,4228,11.43,S,4,6,A
150,PROD000150,NOM_PROD150,DES_PROD150,3,2,86,3,4895,0,4101,19.37,S,81,103,I
151,PROD000151,NOM_PROD151,DES_PROD151,2,3,226,3,3006,0,2705,11.16,S,214,271,I
152,PROD000152,NOM_PROD152,DES_PROD152,2,3,277,1,2378,0,2045,16.33,S,263,332,I
153,PROD000153,NOM_PROD153,DES_PROD153,4,3,321,3,3382,0,2940,15.05,S,304,385,I
154,PROD000154,NOM_PROD154,DES_PROD154,5,2,129,2,4325,0,3875,11.63,S,122,154,I
155,PROD000155,NOM_PROD155,DES_PROD155,4,2,41,2,5046,0,4364,15.64,S,38,49,I
156,PROD000156,NOM_PROD156,DES_PROD156,5,1,441,1,4809,0,4207,14.32,S,418,529,A
157,PROD000157,NOM_PROD157,DES_PROD157,4,2,207,1,2617,0,2334,12.14,N,196,248,A
158,PROD000158,NOM_PROD158,DES_PROD158,1,3,322,2,5094,0,4438,14.8,N,305,386,A
159,PROD000159,NOM_PROD159,DES_PROD159,5,2,139,3,3635,0,3252,11.8,S,132,166,A
160,PROD000160,NOM_PROD160,DES_PROD160,1,1,125,3,4926,0,4419,11.48,S,118,150,A
161,PROD000161,NOM_PROD161,DES_PROD161,5,1,259,5,2860,0,2484,15.17,N,246,310,I
162,PROD000162,NOM_PROD162,DES_PROD162,2,2,285,5,3114,0,2637,18.11,N,270,342,I
163,PROD000163,NOM_PROD163,DES_PROD163,5,1,184,4,3889,0,3409,14.09,S,174,220,I
164,PROD000164,NOM_PROD164,DES_PROD164,5,3,107,1,2558,0,2156,18.69,S,101,128,A
165,PROD000165,NOM_PROD165,DES_PROD165,3,1,7,5,5481,0,4864,12.7,N,6,8,I
166,PROD000166,NOM_PROD166,DES_PROD166,5,3,446,5,5779,0,4901,17.93,S,423,535,A
167,PROD000167,NOM_PROD167,DES_PROD167,5,2,438,3,2921,0,2585,13.0,N,416,525,A
168,PROD000168,NOM_PROD168,DES_PROD168,3,3,96,4,5597,0,4730,18.35,S,91,115,I
169,PROD000169,NOM_PROD169,DES_PROD169,1,1,394,3,3212,0,2857,12.43,S,374,472,A
170,PROD000170,NOM_PROD170,DES_PROD170,1,1,453,1,4717,0,4187,12.68,N,430,543,A
171,PROD000171,NOM_PROD171,DES_PROD171,4,3,4,4,4195,0,3763,11.49,S,3,4,A
172,PROD000172,NOM_PROD172,DES_PROD172,4,3,333,3,2742,0,2474,10.85,N,316,399,A
173,PROD000173,NOM_PROD173,DES_PROD173,2,1,202,5,4246,0,3780,12.34,S,191,242,A
174,PROD000174,NOM_PROD174,DES_PROD174,4,2,119,2,4609,0,3910,17.89,S,113,142,A
175,PROD000175,NOM_PROD175,DES_PROD175,2,3,193,3,4405,0,3845,14.59,S,183,231,A
176,PROD000176,NOM_PROD176,DES_PROD176,2,2,89,1,4238,0,3787,11.93,N,84,106,A
177,PROD000177,NOM_PROD177,DES_PROD177,1,2,432,1,3930,0,3548,10.77,S,410,518,A
178,PROD000178,NOM_PROD178,DES_PROD178,5,3,498,2,4618,0,3890,18.72,N,473,597,A
179,PROD000179,NOM_PROD179,DES_PROD179,5,2,182,4,3793,0,3313,14.51,S,172,218,I
180,PROD000180,NOM_PROD180,DES_PROD180,3,3,290,1,2820,0,2369,19.07,N,275,348,I
181,PROD000181,NOM_PROD181,DES_PROD181,1,3,174,5,4878,0,4376,11.49,N,165,208,I
182,PROD000182,NOM_PROD182,DES_PROD182,1,2,458,3,2219,0,1964,13.0,N,435,549,A
183,PROD000183,NOM_PROD183,DES_PROD183,5,1,101,3,2311,0,1986,16.38,N,95,121,A
184,PROD000184,NOM_PROD184,DES_PROD184,2,2,479,5,5176,0,4342,19.23,S,455,574,A
185,PROD000185,NOM_PROD185,DES_PROD185,5,1,275,4,5012,0,4470,12.14,S,261,330,I
186,PROD000186,NOM_PROD186,DES_PROD186,3,2,334,2,4404,0,3915,12.51,S,317,400,A
187,PROD000187,NOM_PROD187,DES_PROD187,5,1,137,4,3207,0,2915,10.02,N,130,164,A
188,PROD000188,NOM_PROD188,DES_PROD188,2,3,123,4,3485,0,2920,19.37,S,116,147,A
189,PROD000189,NOM_PROD189,DES_PROD189,5,3,289,2,4190,0,3721,12.63,S,274,346,A
190,PROD000190,NOM_PROD190,DES_PROD190,4,1,462,2,5338,0,4558,17.12,S,438,554,I
191,PROD000191,NOM_PROD191,DES_PROD191,1,2,296,4,4279,0,3732,14.66,N,281,355,A
192,PROD000192,NOM_PROD192,DES_PROD192,1,2,427,5,2971,0,2533,17.32,N,405,512,I
193,PROD000193,NOM_PROD193,DES_PROD193,5,1,83,4,4357,0,3785,15.13,S,78,99,I
194,PROD000194,NOM_PROD194,DES_PROD194,3,2,321,5,3806,0,3389,12.33,N,304,385,A
195,PROD000195,NOM_PROD195,DES_PROD195,5,1,428,2,3758,0,3226,16.51,N,406,513,I
196,PROD000196,NOM_PROD196,DES_PROD196,3,2,383,4,4627,0,3965,16.72,N,363,459,I
197,PROD000197,NOM_PROD197,DES_PROD197,1,1,165,4,2377,0,2083,14.12,N,156,198,A
198,PROD000198,NOM_PROD198,DES_PROD198,1,1,491,3,5247,0,4463,17.58,N,466,589,A
199,PROD000199,NOM_PROD199,DES_PROD199,2,1,372,1,4259,0,3644,16.9,N,353,446,I
200,PROD000200,NOM_PROD200,DES_PROD200,3,3,245,1,2089,0,1896,10.22,N,232,294,A
201,PROD000201,NOM_PROD201,DES_PROD201,4,1,127,4,3651,0,3196,14.25,N,120,152,A
202,PROD000202,NOM_PROD202,DES_PROD202,2,1,236,1,5494,0,4622,18.88,S,224,283,A
203,PROD000203,NOM_PROD203,DES_PROD203,2,2,242,4,5748,0,4988,15.25,N,229,290,I
204,PROD000204,NOM_PROD204,DES_PROD204,3,2,89,5,3886,0,3434,13.18,N,84,106,I
205,PROD000205,NOM_PROD205,DES_PROD205,2,2,320,5,5899,0,4940,19.43,S,304,384,A
206,PROD000206,NOM_PROD206,DES_PROD206,2,1,254,2,2913,0,2537,14.83,N,241,304,A
207,PROD000207,NOM_PROD207,DES_PROD207,2,3,158,3,3955,0,3541,11.7,N,150,189,A
208,PROD000208,NOM_PROD208,DES_PROD208,5,1,434,1,4161,0,3607,15.36,S,412,520,I
209,PROD000209,NOM_PROD209,DES_PROD209,5,1,12,4,5337,0,4598,16.09,N,11,14,I
210,PROD000210,NOM_PROD210,DES_PROD210,3,3,436,1,2649,0,2303,15.06,S,414,523,A
211,PROD000211,NOM_PROD211,DES_PROD211,3,3,53,5,2608,0,2256,15.63,N,50,63,I
212,PROD000212,NOM_PROD212,DES_PROD212,1,2,254,5,3278,0,2780,17.92,S,241,304,A
213,PROD000213,NOM_PROD213,DES_PROD213,4,3,70,5,4439,0,3841,15.59,S,66,84,A
214,PROD000214,NOM_PROD214,DES_PROD214,1,1,87,3,4396,0,3956,11.13,S,82,104,A
215,PROD000215,NOM_PROD215,DES_PROD215,2,3,258,1,5190,0,4550,14.08,S,245,309,I
216,PROD000216,NOM_PROD216,DES_PROD216,1,1,70,3,4243,0,3684,15.2,S,66,84,A
217,PROD000217,NOM_PROD217,DES_PROD217,3,3,171,2,5267,0,4512,16.74,N,162,205,I
218,PROD000218,NOM_PROD218,DES_PROD218,2,3,2,4,4772,0,4301,10.96,S,1,2,A
219,PROD000219,NOM_PROD219,DES_PROD219,4,3,461,4,2226,0,1986,12.1,S,437,553,A
220,PROD000220,NOM_PROD220,DES_PROD220,4,1,163,2,2316,0,2057,12.63,S,154,195,I
221,PROD000221,NOM_PROD221,DES_PROD221,2,3,440,1,4821,0,4128,16.8,N,418,528,I
222,PROD000222,NOM_PROD222,DES_PROD222,1,2,335,4,3835,0,3197,19.97,N,318,402,A
223,PROD000223,NOM_PROD223,DES_PROD223,5,3,63,3,2833,0,2468,14.79,N,59,75,I
224,PROD000224,NOM_PROD224,DES_PROD224,3,1,314,3,5301,0,4702,12.75,N,298,376,A
225,PROD000225,NOM_PROD225,DES_PROD225,2,1,20,1,3951,0,3556,11.13,N,19,24,A
226,PROD000226,NOM_PROD226,DES_PROD226,4,3,44,2,3621,0,3152,14.9,N,41,52,A
227,PROD000227,NOM_PROD227,DES_PROD227,3,2,188,4,5094,0,4327,17.74,N,178,225,I
228,PROD000228,NOM_PROD228,DES_PROD228,2,3,332,3,5621,0,4823,16.55,S,315,398,I
229,PROD000229,NOM_PROD229,DES_PROD229,5,1,444,5,5419,0,4856,11.6,N,421,532,I
230,PROD000230,NOM_PROD230,DES_PROD230,4,2,38,5,5220,0,4486,16.38,S,36,45,A
231,PROD000231,NOM_PROD231,DES_PROD231,4,3,220,4,4947,0,4211,17.48,S,209,264,A
232,PROD000232,NOM_PROD232,DES_PROD232,2,2,136,2,5324,0,4558,16.82,S,129,163,I
233,PROD000233,NOM_PROD233,DES_PROD233,3,1,408,5,3024,0,2626,15.16,N,387,489,A
234,PROD000234,NOM_PROD234,DES_PROD234,2,2,224,3,2139,0,1893,13.02,N,212,268,I
235,PROD000235,NOM_PROD235,DES_PROD235,1,3,256,1,3080,0,2688,14.61,N,243,307,I
236,PROD000236,NOM_PROD236,DES_PROD236,2,2,82,4,2484,0,2078,19.56,N,77,98,A
237,PROD000237,NOM_PROD237,DES_PROD237,4,2,350,5,4585,0,4064,12.83,S,332,420,A
238,PROD000238,NOM_PROD238,DES_PROD238,1,2,376,5,4921,0,4130,19.16,N,357,451,I
239,PROD000239,NOM_PROD239,DES_PROD239,2,1,462,5,4535,0,3893,16.5,N,438,554,I
240,PROD000240,NOM_PROD240,DES_PROD240,2,1,323,1,3773,0,3419,10.36,N,306,387,I
241,PROD000241,NOM_PROD241,DES_PROD241,1,3,297,4,2337,0,2106,11.01,N,282,356,I
242,PROD000242,NOM_PROD242,DES_PROD242,3,3,364,4,4052,0,3378,19.98,N,345,436,I
243,PROD000243,NOM_PROD243,DES_PROD243,4,1,445,4,5005,0,4196,19.3,S,422,534,I
244,PROD000244,NOM_PROD244,DES_PROD244,1,2,403,3,4678,0,4103,14.02,S,382,483,A
245,PROD000245,NOM_PROD245,DES_PROD245,2,3,286,1,4363,0,3663,19.12,S,271,343,I
246,PROD000246,NOM_PROD246,DES_PROD246,2,1,417,4,3857,0,3245,18.89,S,396,500,I
247,PROD000247,NOM_PROD247,DES_PROD247,2,1,137,5,3963,0,3499,13.27,N,130,164,I
248,PROD000248,NOM_PROD248,DES_PROD248,5,1,195,1,2615,0,2210,18.37,S,185,234,I
249,PROD000249,NOM_PROD249,DES_PROD249,5,3,363,1,3184,0,2784,14.39,S,344,435,I
250,PROD000250,NOM_PROD250,DES_PROD250,4,2,407,3,5137,0,4633,10.88,S,386,488,I
251,PROD000251,NOM_PROD251,DES_PROD251,4,2,120,4,2519,0,2194,14.82,N,114,144,A
252,PROD000252,NOM_PROD252,DES_PROD252,4,3,278,4,4440,0,3726,19.18,N,264,333,I
253,PROD000253,NOM_PROD253,DES_PROD253,3,3,452,4,5249,0,4672,12.37,S,429,542,A
254,PROD000254,NOM_PROD254,DES_PROD254,3,3,17,5,2853,0,2437,17.09,N,16,20,A
255,PROD000255,NOM_PROD255,DES_PROD255,3,1,19,3,5140,0,4631,11.0,N,18,22,A
256,PROD000256,NOM_PROD256,DES_PROD256,5,1,98,1,4874,0,4361,11.78,S,93,117,A
257,PROD000257,NOM_PROD257,DES_PROD257,5,1,52,4,3055,0,2622,16.53,N,49,62,I
258,PROD000258,NOM_PROD258,DES_PROD258,2,2,122,4,3320,0,2952,12.48,S,115,146,I
259,PROD000259,NOM_PROD259,DES_PROD259,4,2,190,3,2423,0,2038,18.9,S,180,228,I
